Index,Manufacturer Part Number,Manufacturer Name,Description,Customer Reference,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Reference Designator,Product Notes
1,STM32C071GBU6N,STMicroelectronics,MAINSTREAM ARM CORTEX-M0+ MCU WI,Main MCU,10,1,2,Tray,497-STM32C071GBU6N-ND,1.88000,$3.76,1,U1,
2,XC6206P332MR,UMW,IC REG LINEAR 3.3V 100MA SOT23,Voltage Regulator,5,1,2,Cut Tape (CT),4518-XC6206P332MRCT-ND,0.10000,$0.20,1,U2,
3,CL10B104KO8NFNC,Samsung Electro-Mechanics,CAP CER 0.1UF 16V X7R 0603,Decoupling Caps,25,2,3,Cut Tape (CT),1276-1938-1-ND,0.10000,$0.30,1,"C1, C2",
4,CL21B105KAFNFNE,Samsung Electro-Mechanics,CAP CER 1UF 25V X7R 0805,Bulk Caps,25,2,3,Cut Tape (CT),1276-2926-1-ND,0.11000,$0.33,1,"C1, C2",
5,RC0603JR-075K1L,YAGEO,RES 5.1K OHM 5% 1/10W 0603,USB-C CC Resistors,25,2,3,Cut Tape (CT),311-5.1KGRCT-ND,0.11000,$0.33,1,"R1, R2",
6,RC0805JR-0710KL,YAGEO,RES 10K OHM 5% 1/8W 0805,Pull-up/Pull-down Resistors,25,2,3,Cut Tape (CT),311-10KARCT-ND,0.10000,$0.30,1,"R3, R4",
7,RC0805JR-07220RL,YAGEO,RES 220 OHM 5% 1/8W 0805,LED Resistors,25,2,3,Cut Tape (CT),311-220ARCT-ND,0.10000,$0.30,1,"R5, R6",
8,LTST-C171YKT,Lite-On Inc.,LED YELLOW CLEAR CHIP SMD,Indicator LEDs,10,2,3,Cut Tape (CT),160-1431-1-ND,0.13000,$0.39,1,"D1, D2",
9,Y78B62324FP,C&K,KMR GOLD PLATED TACTILE SWITCH,Pushbuttons,10,2,3,Cut Tape (CT),108-Y78B62324FPCT-ND,0.80000,$2.40,1,"SW1, SW2","No Backorders Allowed. "
10,PH1-10-UA,Adam Tech,CONN HEADER VERT 10POS 2.54MM,Breadboard Headers,5,2,3,Bag,2057-PH1-10-UA-ND,0.14000,$0.42,1,"J1, J2",
11,USB4105-GF-A,GCT,CONN RCP USB2.0 TYP C 16P SMD RA,USB-C Header,5,1,2,Cut Tape (CT),2073-USB4105-GF-ACT-ND,0.80000,$1.60,1,J3,
12,BM03B-SRSS-TB,JST Sales America Inc.,CONN HEADER SMD 3POS 1MM,SWD Header,5,1,2,Cut Tape (CT),455-BM03B-SRSS-TBCT-ND,0.46000,$0.92,1,J4,
